Comunidad y ciudad autónoma de defunción;Covid-19;Sexo;Edad;Total
Balears, Illes;Otras causas;Hombres;De 0 a 49 años;248
Balears, Illes;Otras causas;Hombres;De 50 a 54 años;145
Balears, Illes;Otras causas;Hombres;De 55 a 59 años;213
Balears, Illes;Otras causas;Hombres;De 60 a 64 años;285
Balears, Illes;Otras causas;Hombres;De 65 a 69 años;360
Balears, Illes;Otras causas;Hombres;De 70 a 74 años;449
Balears, Illes;Otras causas;Hombres;De 75 a 79 años;546
Balears, Illes;Otras causas;Hombres;De 80 a 84 años;612
Balears, Illes;Otras causas;Hombres;De 85 a 89 años;695
Balears, Illes;Otras causas;Hombres;De 90 a 94 años;462
Balears, Illes;Otras causas;Hombres;95 y más años;141
Balears, Illes;Otras causas;Mujeres;Total;3.852
Balears, Illes;Otras causas;Mujeres;De 0 a 49 años;136
Balears, Illes;Otras causas;Mujeres;De 50 a 54 años;73
Balears, Illes;Otras causas;Mujeres;De 55 a 59 años;121
Balears, Illes;Otras causas;Mujeres;De 60 a 64 años;133
Balears, Illes;Otras causas;Mujeres;De 65 a 69 años;166
Balears, Illes;Otras causas;Mujeres;De 70 a 74 años;235
Balears, Illes;Otras causas;Mujeres;De 75 a 79 años;344
Balears, Illes;Otras causas;Mujeres;De 80 a 84 años;540
Balears, Illes;Otras causas;Mujeres;De 85 a 89 años;857
Balears, Illes;Otras causas;Mujeres;De 90 a 94 años;812
Balears, Illes;Otras causas;Mujeres;95 y más años;435
Canarias;Total;Total;Total;16.725
Canarias;Total;Total;De 0 a 49 años;873
Canarias;Total;Total;De 50 a 54 años;492
Canarias;Total;Total;De 55 a 59 años;865
Canarias;Total;Total;De 60 a 64 años;1.028
Canarias;Total;Total;De 65 a 69 años;1.326
Canarias;Total;Total;De 70 a 74 años;1.606
Canarias;Total;Total;De 75 a 79 años;2.034
Canarias;Total;Total;De 80 a 84 años;2.464
Canarias;Total;Total;De 85 a 89 años;3.116
Canarias;Total;Total;De 90 a 94 años;2.024
Canarias;Total;Total;95 y más años;897
Canarias;Total;Hombres;Total;8.918
Canarias;Total;Hombres;De 0 a 49 años;570
Canarias;Total;Hombres;De 50 a 54 años;338
Canarias;Total;Hombres;De 55 a 59 años;576
Canarias;Total;Hombres;De 60 a 64 años;673
Canarias;Total;Hombres;De 65 a 69 años;854
Canarias;Total;Hombres;De 70 a 74 años;1.037
Canarias;Total;Hombres;De 75 a 79 años;1.235
Canarias;Total;Hombres;De 80 a 84 años;1.256
Canarias;Total;Hombres;De 85 a 89 años;1.390
Canarias;Total;Hombres;De 90 a 94 años;750
Canarias;Total;Hombres;95 y más años;239
Canarias;Total;Mujeres;Total;7.807
Canarias;Total;Mujeres;De 0 a 49 años;303
Canarias;Total;Mujeres;De 50 a 54 años;154
Canarias;Total;Mujeres;De 55 a 59 años;289
Canarias;Total;Mujeres;De 60 a 64 años;355
Canarias;Total;Mujeres;De 65 a 69 años;472
Canarias;Total;Mujeres;De 70 a 74 años;569
Canarias;Total;Mujeres;De 75 a 79 años;799
Canarias;Total;Mujeres;De 80 a 84 años;1.208
Canarias;Total;Mujeres;De 85 a 89 años;1.726
Canarias;Total;Mujeres;De 90 a 94 años;1.274
Canarias;Total;Mujeres;95 y más años;658
Canarias;Covid-19 Virus identificado;Total;Total;403
Canarias;Covid-19 Virus identificado;Total;De 0 a 49 años;13
Canarias;Covid-19 Virus identificado;Total;De 50 a 54 años;5
Canarias;Covid-19 Virus identificado;Total;De 55 a 59 años;14
Canarias;Covid-19 Virus identificado;Total;De 60 a 64 años;17
Canarias;Covid-19 Virus identificado;Total;De 65 a 69 años;30
Canarias;Covid-19 Virus identificado;Total;De 70 a 74 años;49
Canarias;Covid-19 Virus identificado;Total;De 75 a 79 años;67
Canarias;Covid-19 Virus identificado;Total;De 80 a 84 años;68
Canarias;Covid-19 Virus identificado;Total;De 85 a 89 años;78
Canarias;Covid-19 Virus identificado;Total;De 90 a 94 años;46
Canarias;Covid-19 Virus identificado;Total;95 y más años;16
Canarias;Covid-19 Virus identificado;Hombres;Total;240
Canarias;Covid-19 Virus identificado;Hombres;De 0 a 49 años;8
Canarias;Covid-19 Virus identificado;Hombres;De 50 a 54 años;..
Canarias;Covid-19 Virus identificado;Hombres;De 55 a 59 años;6
Canarias;Covid-19 Virus identificado;Hombres;De 60 a 64 años;14
Canarias;Covid-19 Virus identificado;Hombres;De 65 a 69 años;21
Canarias;Covid-19 Virus identificado;Hombres;De 70 a 74 años;32
Canarias;Covid-19 Virus identificado;Hombres;De 75 a 79 años;45
Canarias;Covid-19 Virus identificado;Hombres;De 80 a 84 años;41
Canarias;Covid-19 Virus identificado;Hombres;De 85 a 89 años;47
Canarias;Covid-19 Virus identificado;Hombres;De 90 a 94 años;20
Canarias;Covid-19 Virus identificado;Hombres;95 y más años;6
Canarias;Covid-19 Virus identificado;Mujeres;Total;163
Canarias;Covid-19 Virus identificado;Mujeres;De 0 a 49 años;5
Canarias;Covid-19 Virus identificado;Mujeres;De 50 a 54 años;5
Canarias;Covid-19 Virus identificado;Mujeres;De 55 a 59 años;8
Canarias;Covid-19 Virus identificado;Mujeres;De 60 a 64 años;3
Canarias;Covid-19 Virus identificado;Mujeres;De 65 a 69 años;9
Canarias;Covid-19 Virus identificado;Mujeres;De 70 a 74 años;17
Canarias;Covid-19 Virus identificado;Mujeres;De 75 a 79 años;22
Canarias;Covid-19 Virus identificado;Mujeres;De 80 a 84 años;27
Canarias;Covid-19 Virus identificado;Mujeres;De 85 a 89 años;31
Canarias;Covid-19 Virus identificado;Mujeres;De 90 a 94 años;26
Canarias;Covid-19 Virus identificado;Mujeres;95 y más años;10
Canarias;Covid-19 Virus no identificado (sospechoso);Total;Total;98
Canarias;Covid-19 Virus no identificado (sospechoso);Total;De 0 a 49 años;3
Canarias;Covid-19 Virus no identificado (sospechoso);Total;De 50 a 54 años;2
Canarias;Covid-19 Virus no identificado (sospechoso);Total;De 55 a 59 años;2
Canarias;Covid-19 Virus no identificado (sospechoso);Total;De 60 a 64 años;4
Canarias;Covid-19 Virus no identificado (sospechoso);Total;De 65 a 69 años;12
Canarias;Covid-19 Virus no identificado (sospechoso);Total;De 70 a 74 años;4
Canarias;Covid-19 Virus no identificado (sospechoso);Total;De 75 a 79 años;12
Canarias;Covid-19 Virus no identificado (sospechoso);Total;De 80 a 84 años;23
Canarias;Covid-19 Virus no identificado (sospechoso);Total;De 85 a 89 años;19
Canarias;Covid-19 Virus no identificado (sospechoso);Total;De 90 a 94 años;13
Canarias;Covid-19 Virus no identificado (sospechoso);Total;95 y más años;4
Canarias;Covid-19 Virus no identificado (sospechoso);Hombres;Total;53
Canarias;Covid-19 Virus no identificado (sospechoso);Hombres;De 0 a 49 años;2
Canarias;Covid-19 Virus no identificado (sospechoso);Hombres;De 50 a 54 años;2
Canarias;Covid-19 Virus no identificado (sospechoso);Hombres;De 55 a 59 años;2
Canarias;Covid-19 Virus no identificado (sospechoso);Hombres;De 60 a 64 años;3
Canarias;Covid-19 Virus no identificado (sospechoso);Hombres;De 65 a 69 años;9
Canarias;Covid-19 Virus no identificado (sospechoso);Hombres;De 70 a 74 años;2
Canarias;Covid-19 Virus no identificado (sospechoso);Hombres;De 75 a 79 años;5
Canarias;Covid-19 Virus no identificado (sospechoso);Hombres;De 80 a 84 años;11
Canarias;Covid-19 Virus no identificado (sospechoso);Hombres;De 85 a 89 años;7
Canarias;Covid-19 Virus no identificado (sospechoso);Hombres;De 90 a 94 años;7
Canarias;Covid-19 Virus no identificado (sospechoso);Hombres;95 y más años;3
Canarias;Covid-19 Virus no identificado (sospechoso);Mujeres;Total;45
Canarias;Covid-19 Virus no identificado (sospechoso);Mujeres;De 0 a 49 años;1
Canarias;Covid-19 Virus no identificado (sospechoso);Mujeres;De 50 a 54 años;..
Canarias;Covid-19 Virus no identificado (sospechoso);Mujeres;De 55 a 59 años;..
Canarias;Covid-19 Virus no identificado (sospechoso);Mujeres;De 60 a 64 años;1
Canarias;Covid-19 Virus no identificado (sospechoso);Mujeres;De 65 a 69 años;3
Canarias;Covid-19 Virus no identificado (sospechoso);Mujeres;De 70 a 74 años;2
Canarias;Covid-19 Virus no identificado (sospechoso);Mujeres;De 75 a 79 años;7
Canarias;Covid-19 Virus no identificado (sospechoso);Mujeres;De 80 a 84 años;12
Canarias;Covid-19 Virus no identificado (sospechoso);Mujeres;De 85 a 89 años;12
Canarias;Covid-19 Virus no identificado (sospechoso);Mujeres;De 90 a 94 años;6
Canarias;Covid-19 Virus no identificado (sospechoso);Mujeres;95 y más años;1
Canarias;Otras causas;Total;Total;16.224
Canarias;Otras causas;Total;De 0 a 49 años;857
Canarias;Otras causas;Total;De 50 a 54 años;485
Canarias;Otras causas;Total;De 55 a 59 años;849
Canarias;Otras causas;Total;De 60 a 64 años;1.007
Canarias;Otras causas;Total;De 65 a 69 años;1.284
Canarias;Otras causas;Total;De 70 a 74 años;1.553
Canarias;Otras causas;Total;De 75 a 79 años;1.955
Canarias;Otras causas;Total;De 80 a 84 años;2.373
Canarias;Otras causas;Total;De 85 a 89 años;3.019
Canarias;Otras causas;Total;De 90 a 94 años;1.965
Canarias;Otras causas;Total;95 y más años;877
Canarias;Otras causas;Hombres;Total;8.625
Canarias;Otras causas;Hombres;De 0 a 49 años;560
Canarias;Otras causas;Hombres;De 50 a 54 años;336
Canarias;Otras causas;Hombres;De 55 a 59 años;568
Canarias;Otras causas;Hombres;De 60 a 64 años;656
Canarias;Otras causas;Hombres;De 65 a 69 años;824
Canarias;Otras causas;Hombres;De 70 a 74 años;1.003
Canarias;Otras causas;Hombres;De 75 a 79 años;1.185
Canarias;Otras causas;Hombres;De 80 a 84 años;1.204
Canarias;Otras causas;Hombres;De 85 a 89 años;1.336
Canarias;Otras causas;Hombres;De 90 a 94 años;723
Canarias;Otras causas;Hombres;95 y más años;230
Canarias;Otras causas;Mujeres;Total;7.599
Canarias;Otras causas;Mujeres;De 0 a 49 años;297
Canarias;Otras causas;Mujeres;De 50 a 54 años;149
Canarias;Otras causas;Mujeres;De 55 a 59 años;281
Canarias;Otras causas;Mujeres;De 60 a 64 años;351
Canarias;Otras causas;Mujeres;De 65 a 69 años;460
Canarias;Otras causas;Mujeres;De 70 a 74 años;550
Canarias;Otras causas;Mujeres;De 75 a 79 años;770
Canarias;Otras causas;Mujeres;De 80 a 84 años;1.169
Canarias;Otras causas;Mujeres;De 85 a 89 años;1.683
Canarias;Otras causas;Mujeres;De 90 a 94 años;1.242
Canarias;Otras causas;Mujeres;95 y más años;647
Cantabria;Total;Total;Total;6.561
Cantabria;Total;Total;De 0 a 49 años;193
Cantabria;Total;Total;De 50 a 54 años;116
Cantabria;Total;Total;De 55 a 59 años;175
Cantabria;Total;Total;De 60 a 64 años;303
Cantabria;Total;Total;De 65 a 69 años;399
Cantabria;Total;Total;De 70 a 74 años;478
Cantabria;Total;Total;De 75 a 79 años;642
Cantabria;Total;Total;De 80 a 84 años;902
Cantabria;Total;Total;De 85 a 89 años;1.452
Cantabria;Total;Total;De 90 a 94 años;1.274
Cantabria;Total;Total;95 y más años;627
Cantabria;Total;Hombres;Total;3.241
Cantabria;Total;Hombres;De 0 a 49 años;111
Cantabria;Total;Hombres;De 50 a 54 años;81
Cantabria;Total;Hombres;De 55 a 59 años;111
Cantabria;Total;Hombres;De 60 a 64 años;212
Cantabria;Total;Hombres;De 65 a 69 años;260
Cantabria;Total;Hombres;De 70 a 74 años;337
Cantabria;Total;Hombres;De 75 a 79 años;420
Cantabria;Total;Hombres;De 80 a 84 años;494
Cantabria;Total;Hombres;De 85 a 89 años;644
Cantabria;Total;Hombres;De 90 a 94 años;441
Cantabria;Total;Hombres;95 y más años;130
Cantabria;Total;Mujeres;Total;3.320
Cantabria;Total;Mujeres;De 0 a 49 años;82
Cantabria;Total;Mujeres;De 50 a 54 años;35
Cantabria;Total;Mujeres;De 55 a 59 años;64
Cantabria;Total;Mujeres;De 60 a 64 años;91
Cantabria;Total;Mujeres;De 65 a 69 años;139
Cantabria;Total;Mujeres;De 70 a 74 años;141
Cantabria;Total;Mujeres;De 75 a 79 años;222
Cantabria;Total;Mujeres;De 80 a 84 años;408
Cantabria;Total;Mujeres;De 85 a 89 años;808
Cantabria;Total;Mujeres;De 90 a 94 años;833
Cantabria;Total;Mujeres;95 y más años;497
Cantabria;Covid-19 Virus identificado;Total;Total;427
Cantabria;Covid-19 Virus identificado;Total;De 0 a 49 años;3
Cantabria;Covid-19 Virus identificado;Total;De 50 a 54 años;3
Cantabria;Covid-19 Virus identificado;Total;De 55 a 59 años;3
Cantabria;Covid-19 Virus identificado;Total;De 60 a 64 años;14
Cantabria;Covid-19 Virus identificado;Total;De 65 a 69 años;13
Cantabria;Covid-19 Virus identificado;Total;De 70 a 74 años;34
Cantabria;Covid-19 Virus identificado;Total;De 75 a 79 años;42
Cantabria;Covid-19 Virus identificado;Total;De 80 a 84 años;60
Cantabria;Covid-19 Virus identificado;Total;De 85 a 89 años;122
Cantabria;Covid-19 Virus identificado;Total;De 90 a 94 años;92
Cantabria;Covid-19 Virus identificado;Total;95 y más años;41
Cantabria;Covid-19 Virus identificado;Hombres;Total;214
Cantabria;Covid-19 Virus identificado;Hombres;De 0 a 49 años;2
Cantabria;Covid-19 Virus identificado;Hombres;De 50 a 54 años;3
Cantabria;Covid-19 Virus identificado;Hombres;De 55 a 59 años;3
Cantabria;Covid-19 Virus identificado;Hombres;De 60 a 64 años;10
Cantabria;Covid-19 Virus identificado;Hombres;De 65 a 69 años;7
Cantabria;Covid-19 Virus identificado;Hombres;De 70 a 74 años;26
Cantabria;Covid-19 Virus identificado;Hombres;De 75 a 79 años;26
Cantabria;Covid-19 Virus identificado;Hombres;De 80 a 84 años;34
Cantabria;Covid-19 Virus identificado;Hombres;De 85 a 89 años;57
Cantabria;Covid-19 Virus identificado;Hombres;De 90 a 94 años;36
Cantabria;Covid-19 Virus identificado;Hombres;95 y más años;10
Cantabria;Covid-19 Virus identificado;Mujeres;Total;213
Cantabria;Covid-19 Virus identificado;Mujeres;De 0 a 49 años;1
Cantabria;Covid-19 Virus identificado;Mujeres;De 50 a 54 años;..
Cantabria;Covid-19 Virus identificado;Mujeres;De 55 a 59 años;..
Cantabria;Covid-19 Virus identificado;Mujeres;De 60 a 64 años;4
Cantabria;Covid-19 Virus identificado;Mujeres;De 65 a 69 años;6
Cantabria;Covid-19 Virus identificado;Mujeres;De 70 a 74 años;8
Cantabria;Covid-19 Virus identificado;Mujeres;De 75 a 79 años;16
Cantabria;Covid-19 Virus identificado;Mujeres;De 80 a 84 años;26
Cantabria;Covid-19 Virus identificado;Mujeres;De 85 a 89 años;65
Cantabria;Covid-19 Virus identificado;Mujeres;De 90 a 94 años;56
Cantabria;Covid-19 Virus identificado;Mujeres;95 y más años;31
Cantabria;Covid-19 Virus no identificado (sospechoso);Total;Total;68
Cantabria;Covid-19 Virus no identificado (sospechoso);Total;De 0 a 49 años;1
Cantabria;Covid-19 Virus no identificado (sospechoso);Total;De 50 a 54 años;..
Cantabria;Covid-19 Virus no identificado (sospechoso);Total;De 55 a 59 años;3
Cantabria;Covid-19 Virus no identificado (sospechoso);Total;De 60 a 64 años;1
Cantabria;Covid-19 Virus no identificado (sospechoso);Total;De 65 a 69 años;4
Cantabria;Covid-19 Virus no identificado (sospechoso);Total;De 70 a 74 años;2
Cantabria;Covid-19 Virus no identificado (sospechoso);Total;De 75 a 79 años;8
Cantabria;Covid-19 Virus no identificado (sospechoso);Total;De 80 a 84 años;12
Cantabria;Covid-19 Virus no identificado (sospechoso);Total;De 85 a 89 años;19
Cantabria;Covid-19 Virus no identificado (sospechoso);Total;De 90 a 94 años;12
Cantabria;Covid-19 Virus no identificado (sospechoso);Total;95 y más años;6
Cantabria;Covid-19 Virus no identificado (sospechoso);Hombres;Total;38
Cantabria;Covid-19 Virus no identificado (sospechoso);Hombres;De 0 a 49 años;1
Cantabria;Covid-19 Virus no identificado (sospechoso);Hombres;De 50 a 54 años;..
Cantabria;Covid-19 Virus no identificado (sospechoso);Hombres;De 55 a 59 años;3
Cantabria;Covid-19 Virus no identificado (sospechoso);Hombres;De 60 a 64 años;1
Cantabria;Covid-19 Virus no identificado (sospechoso);Hombres;De 65 a 69 años;3
Cantabria;Covid-19 Virus no identificado (sospechoso);Hombres;De 70 a 74 años;1
Cantabria;Covid-19 Virus no identificado (sospechoso);Hombres;De 75 a 79 años;5
Cantabria;Covid-19 Virus no identificado (sospechoso);Hombres;De 80 a 84 años;10
Cantabria;Covid-19 Virus no identificado (sospechoso);Hombres;De 85 a 89 años;7
Cantabria;Covid-19 Virus no identificado (sospechoso);Hombres;De 90 a 94 años;5
Cantabria;Covid-19 Virus no identificado (sospechoso);Hombres;95 y más años;2
Cantabria;Covid-19 Virus no identificado (sospechoso);Mujeres;Total;30
Cantabria;Covid-19 Virus no identificado (sospechoso);Mujeres;De 0 a 49 años;..
Cantabria;Covid-19 Virus no identificado (sospechoso);Mujeres;De 50 a 54 años;..
Cantabria;Covid-19 Virus no identificado (sospechoso);Mujeres;De 55 a 59 años;..
Cantabria;Covid-19 Virus no identificado (sospechoso);Mujeres;De 60 a 64 años;..
Cantabria;Covid-19 Virus no identificado (sospechoso);Mujeres;De 65 a 69 años;1
Cantabria;Covid-19 Virus no identificado (sospechoso);Mujeres;De 70 a 74 años;1
Cantabria;Covid-19 Virus no identificado (sospechoso);Mujeres;De 75 a 79 años;3
Cantabria;Covid-19 Virus no identificado (sospechoso);Mujeres;De 80 a 84 años;2
Cantabria;Covid-19 Virus no identificado (sospechoso);Mujeres;De 85 a 89 años;12
Cantabria;Covid-19 Virus no identificado (sospechoso);Mujeres;De 90 a 94 años;7
Cantabria;Covid-19 Virus no identificado (sospechoso);Mujeres;95 y más años;4
Cantabria;Otras causas;Total;Total;6.066
Cantabria;Otras causas;Total;De 0 a 49 años;189
Cantabria;Otras causas;Total;De 50 a 54 años;113
Cantabria;Otras causas;Total;De 55 a 59 años;169
Cantabria;Otras causas;Total;De 60 a 64 años;288
Cantabria;Otras causas;Total;De 65 a 69 años;382
Cantabria;Otras causas;Total;De 70 a 74 años;442
Cantabria;Otras causas;Total;De 75 a 79 años;592
Cantabria;Otras causas;Total;De 80 a 84 años;830
Cantabria;Otras causas;Total;De 85 a 89 años;1.311
Cantabria;Otras causas;Total;De 90 a 94 años;1.170
Cantabria;Otras causas;Total;95 y más años;580
Cantabria;Otras causas;Hombres;Total;2.989
Cantabria;Otras causas;Hombres;De 0 a 49 años;108
Cantabria;Otras causas;Hombres;De 50 a 54 años;78
Cantabria;Otras causas;Hombres;De 55 a 59 años;105
Cantabria;Otras causas;Hombres;De 60 a 64 años;201
Cantabria;Otras causas;Hombres;De 65 a 69 años;250
Cantabria;Otras causas;Hombres;De 70 a 74 años;310
Cantabria;Otras causas;Hombres;De 75 a 79 años;389
Cantabria;Otras causas;Hombres;De 80 a 84 años;450
Cantabria;Otras causas;Hombres;De 85 a 89 años;580
Cantabria;Otras causas;Hombres;De 90 a 94 años;400
Cantabria;Otras causas;Hombres;95 y más años;118
Cantabria;Otras causas;Mujeres;Total;3.077
Cantabria;Otras causas;Mujeres;De 0 a 49 años;81
Cantabria;Otras causas;Mujeres;De 50 a 54 años;35
Cantabria;Otras causas;Mujeres;De 55 a 59 años;64
Cantabria;Otras causas;Mujeres;De 60 a 64 años;87
Cantabria;Otras causas;Mujeres;De 65 a 69 años;132
Cantabria;Otras causas;Mujeres;De 70 a 74 años;132
Cantabria;Otras causas;Mujeres;De 75 a 79 años;203
Cantabria;Otras causas;Mujeres;De 80 a 84 años;380
Cantabria;Otras causas;Mujeres;De 85 a 89 años;731
Cantabria;Otras causas;Mujeres;De 90 a 94 años;770
Cantabria;Otras causas;Mujeres;95 y más años;462
Castilla y León;Total;Total;Total;36.522
Castilla y León;Total;Total;De 0 a 49 años;696
Castilla y León;Total;Total;De 50 a 54 años;549
Castilla y León;Total;Total;De 55 a 59 años;865
Castilla y León;Total;Total;De 60 a 64 años;1.240
Castilla y León;Total;Total;De 65 a 69 años;1.658
Castilla y León;Total;Total;De 70 a 74 años;2.274
Castilla y León;Total;Total;De 75 a 79 años;3.203
Castilla y León;Total;Total;De 80 a 84 años;5.028
Castilla y León;Total;Total;De 85 a 89 años;8.551
Castilla y León;Total;Total;De 90 a 94 años;7.925
Castilla y León;Total;Total;95 y más años;4.533
Castilla y León;Total;Hombres;Total;18.404
Castilla y León;Total;Hombres;De 0 a 49 años;440
Castilla y León;Total;Hombres;De 50 a 54 años;372
Castilla y León;Total;Hombres;De 55 a 59 años;610
Castilla y León;Total;Hombres;De 60 a 64 años;845
Castilla y León;Total;Hombres;De 65 a 69 años;1.203
Castilla y León;Total;Hombres;De 70 a 74 años;1.562
Castilla y León;Total;Hombres;De 75 a 79 años;2.052
Castilla y León;Total;Hombres;De 80 a 84 años;2.849
Castilla y León;Total;Hombres;De 85 a 89 años;4.090
Castilla y León;Total;Hombres;De 90 a 94 años;3.055
Castilla y León;Total;Hombres;95 y más años;1.326
Castilla y León;Total;Mujeres;Total;18.118
Castilla y León;Total;Mujeres;De 0 a 49 años;256
Castilla y León;Total;Mujeres;De 50 a 54 años;177
Castilla y León;Total;Mujeres;De 55 a 59 años;255
Castilla y León;Total;Mujeres;De 60 a 64 años;395
Castilla y León;Total;Mujeres;De 65 a 69 años;455
Castilla y León;Total;Mujeres;De 70 a 74 años;712
Castilla y León;Total;Mujeres;De 75 a 79 años;1.151
Castilla y León;Total;Mujeres;De 80 a 84 años;2.179
Castilla y León;Total;Mujeres;De 85 a 89 años;4.461
Castilla y León;Total;Mujeres;De 90 a 94 años;4.870
Castilla y León;Total;Mujeres;95 y más años;3.207
Castilla y León;Covid-19 Virus identificado;Total;Total;5.823
Castilla y León;Covid-19 Virus identificado;Total;De 0 a 49 años;32
Castilla y León;Covid-19 Virus identificado;Total;De 50 a 54 años;28
Castilla y León;Covid-19 Virus identificado;Total;De 55 a 59 años;71
Castilla y León;Covid-19 Virus identificado;Total;De 60 a 64 años;127
Castilla y León;Covid-19 Virus identificado;Total;De 65 a 69 años;200
Castilla y León;Covid-19 Virus identificado;Total;De 70 a 74 años;350
Castilla y León;Covid-19 Virus identificado;Total;De 75 a 79 años;552
Castilla y León;Covid-19 Virus identificado;Total;De 80 a 84 años;918
Castilla y León;Covid-19 Virus identificado;Total;De 85 a 89 años;1.559
Castilla y León;Covid-19 Virus identificado;Total;De 90 a 94 años;1.314
Castilla y León;Covid-19 Virus identificado;Total;95 y más años;672
Castilla y León;Covid-19 Virus identificado;Hombres;Total;3.078
Castilla y León;Covid-19 Virus identificado;Hombres;De 0 a 49 años;19
Castilla y León;Covid-19 Virus identificado;Hombres;De 50 a 54 años;19
Castilla y León;Covid-19 Virus identificado;Hombres;De 55 a 59 años;46
Castilla y León;Covid-19 Virus identificado;Hombres;De 60 a 64 años;91
Castilla y León;Covid-19 Virus identificado;Hombres;De 65 a 69 años;155
Castilla y León;Covid-19 Virus identificado;Hombres;De 70 a 74 años;259
Castilla y León;Covid-19 Virus identificado;Hombres;De 75 a 79 años;373
Castilla y León;Covid-19 Virus identificado;Hombres;De 80 a 84 años;574
Castilla y León;Covid-19 Virus identificado;Hombres;De 85 a 89 años;769
Castilla y León;Covid-19 Virus identificado;Hombres;De 90 a 94 años;557
Castilla y León;Covid-19 Virus identificado;Hombres;95 y más años;216
Castilla y León;Covid-19 Virus identificado;Mujeres;Total;2.745
Castilla y León;Covid-19 Virus identificado;Mujeres;De 0 a 49 años;13
Castilla y León;Covid-19 Virus identificado;Mujeres;De 50 a 54 años;9
Castilla y León;Covid-19 Virus identificado;Mujeres;De 55 a 59 años;25
Castilla y León;Covid-19 Virus identificado;Mujeres;De 60 a 64 años;36
Castilla y León;Covid-19 Virus identificado;Mujeres;De 65 a 69 años;45
Castilla y León;Covid-19 Virus identificado;Mujeres;De 70 a 74 años;91
Castilla y León;Covid-19 Virus identificado;Mujeres;De 75 a 79 años;179
Castilla y León;Covid-19 Virus identificado;Mujeres;De 80 a 84 años;344
Castilla y León;Covid-19 Virus identificado;Mujeres;De 85 a 89 años;790
Castilla y León;Covid-19 Virus identificado;Mujeres;De 90 a 94 años;757
Castilla y León;Covid-19 Virus identificado;Mujeres;95 y más años;456
Castilla y León;Covid-19 Virus no identificado (sospechoso);Total;Total;1.889
Castilla y León;Covid-19 Virus no identificado (sospechoso);Total;De 0 a 49 años;8
Castilla y León;Covid-19 Virus no identificado (sospechoso);Total;De 50 a 54 años;11
Castilla y León;Covid-19 Virus no identificado (sospechoso);Total;De 55 a 59 años;13
Castilla y León;Covid-19 Virus no identificado (sospechoso);Total;De 60 a 64 años;19
Castilla y León;Covid-19 Virus no identificado (sospechoso);Total;De 65 a 69 años;50
Castilla y León;Covid-19 Virus no identificado (sospechoso);Total;De 70 a 74 años;76
Castilla y León;Covid-19 Virus no identificado (sospechoso);Total;De 75 a 79 años;137
Castilla y León;Covid-19 Virus no identificado (sospechoso);Total;De 80 a 84 años;250
Castilla y León;Covid-19 Virus no identificado (sospechoso);Total;De 85 a 89 años;497
Castilla y León;Covid-19 Virus no identificado (sospechoso);Total;De 90 a 94 años;529
Castilla y León;Covid-19 Virus no identificado (sospechoso);Total;95 y más años;299
Castilla y León;Covid-19 Virus no identificado (sospechoso);Hombres;Total;841
Castilla y León;Covid-19 Virus no identificado (sospechoso);Hombres;De 0 a 49 años;3
Castilla y León;Covid-19 Virus no identificado (sospechoso);Hombres;De 50 a 54 años;6
Castilla y León;Covid-19 Virus no identificado (sospechoso);Hombres;De 55 a 59 años;9
Castilla y León;Covid-19 Virus no identificado (sospechoso);Hombres;De 60 a 64 años;12
Castilla y León;Covid-19 Virus no identificado (sospechoso);Hombres;De 65 a 69 años;34
Castilla y León;Covid-19 Virus no identificado (sospechoso);Hombres;De 70 a 74 años;54
Castilla y León;Covid-19 Virus no identificado (sospechoso);Hombres;De 75 a 79 años;88
Castilla y León;Covid-19 Virus no identificado (sospechoso);Hombres;De 80 a 84 años;131
Castilla y León;Covid-19 Virus no identificado (sospechoso);Hombres;De 85 a 89 años;227
Castilla y León;Covid-19 Virus no identificado (sospechoso);Hombres;De 90 a 94 años;182
Castilla y León;Covid-19 Virus no identificado (sospechoso);Hombres;95 y más años;95
Castilla y León;Covid-19 Virus no identificado (sospechoso);Mujeres;Total;1.048
Castilla y León;Covid-19 Virus no identificado (sospechoso);Mujeres;De 0 a 49 años;5
Castilla y León;Covid-19 Virus no identificado (sospechoso);Mujeres;De 50 a 54 años;5
Castilla y León;Covid-19 Virus no identificado (sospechoso);Mujeres;De 55 a 59 años;4
Castilla y León;Covid-19 Virus no identificado (sospechoso);Mujeres;De 60 a 64 años;7
Castilla y León;Covid-19 Virus no identificado (sospechoso);Mujeres;De 65 a 69 años;16
Castilla y León;Covid-19 Virus no identificado (sospechoso);Mujeres;De 70 a 74 años;22
Castilla y León;Covid-19 Virus no identificado (sospechoso);Mujeres;De 75 a 79 años;49
Castilla y León;Covid-19 Virus no identificado (sospechoso);Mujeres;De 80 a 84 años;119
Castilla y León;Covid-19 Virus no identificado (sospechoso);Mujeres;De 85 a 89 años;270
Castilla y León;Covid-19 Virus no identificado (sospechoso);Mujeres;De 90 a 94 años;347
Castilla y León;Covid-19 Virus no identificado (sospechoso);Mujeres;95 y más años;204
Castilla y León;Otras causas;Total;Total;28.810
Castilla y León;Otras causas;Total;De 0 a 49 años;656
Castilla y León;Otras causas;Total;De 50 a 54 años;510
Castilla y León;Otras causas;Total;De 55 a 59 años;781
Castilla y León;Otras causas;Total;De 60 a 64 años;1.094
Castilla y León;Otras causas;Total;De 65 a 69 años;1.408
Castilla y León;Otras causas;Total;De 70 a 74 años;1.848
